"","scores","V2","V3","deltas"
"independent",7428.12307633235,0.000112174643239616,714050.7309066,26.9574185809752
"reactive",7401.16565775138,80.098385994435,1,0
"causal",7404.78759101572,13.0957673090419,6.11635684295729,3.62193326434408
"complex",7406.09663802168,6.80573452187986,11.7692492613289,4.93098027030737
